"Report Title: Variation report for Local Authority Edinburgh, City of by Intermediate Geography for the Topic Population",,,,
Title,Total Population : 2011,Total Population - Children (%) : 2011,Total Population - Working Age (%) : 2011,Total Population - Pensionable Age (%) : 2011
S02000330   Balerno,5752,20.24,57.09,22.67
S02000331   Bonaly and Pentlands,4666,19.22,60.87,19.91
S02000332   South East Bypass,3062,19.53,68.29,12.18
"S02000333   Gracemount, Southouse and Burdiehouse",5211,22.53,60.55,16.93
S02000334   Mortonhall,2630,13.57,63.19,23.23
S02000335   Fairmilehead,5150,21.48,61.03,17.5
S02000336   Comiston and Swanston,5143,18.53,59.93,21.54
S02000337   Currie East,2904,16.49,56.44,27.07
S02000338   Hyvots and Gilmerton Dykes,3762,19.46,59.76,20.79
S02000339   Currie West,5009,12.36,73.05,14.59
S02000340   Baberton and Juniper Green,3980,16.33,60.18,23.49
S02000341   Oxgangs and Firrhill,6159,17.54,61.45,21.01
S02000342   Liberton East,3348,17.23,64.52,18.25
"S02000343   Ferniehill,  South Moredun and Craigour",4132,21.08,59.41,19.51
S02000344   Colinton and Kingsknowe,6125,20.29,61.89,17.81
S02000345   Moredun,3101,17.87,61.75,20.38
S02000346   Liberton West,3149,14,52.75,33.25
S02000347   Braids,3391,20.17,57.59,22.24
S02000348   Clovenstone and Drumbryden,6688,23.22,65.68,11.09
S02000349   The Inch,4968,17.29,62.68,20.03
S02000350   Calders,4523,18.97,65.09,15.94
S02000351   Craiglockhart,6820,16.13,62.58,21.29
S02000352   Craighouse and South Morningside,4547,15.44,68.48,16.08
S02000353   Parkhead,3259,18.29,63.39,18.32
S02000354   Greendykes and Niddrie Mains,3172,21.82,64.34,13.84
S02000355   Blackford,6710,16.75,62.67,20.58
S02000356   Longstone and Saughton Mains,3402,14.26,66.37,19.37
S02000357   Morningside,5963,15.43,66.46,18.11
S02000358   Broomhouse and Sighthill,3759,20.06,65.5,14.45
S02000359   Hutchison and Moat,4842,12.76,69.08,18.15
S02000360   Merchiston and Greenhill,5414,13.32,70.24,16.44
S02000361   Grange,5786,14.78,61.35,23.87
S02000362   Niddrie,3813,24.44,63,12.56
S02000363   South Gyle,5051,14.93,65.47,19.6
S02000364   Prestonfield,3656,11.71,66.3,21.99
S02000365   Shandon,5652,12.24,76.77,10.99
S02000366   Forrester Park and Broomhall,3510,17.98,65.1,16.92
S02000367   Stenhouse,6151,15.46,63.4,21.13
"S02000368   Jewel, Brunstane and Newcraighall",3438,18.03,66.46,15.5
"S02000369   Ratho, Gogarburn and Airport",3264,16.88,61.76,21.35
S02000370   Dalkeith Rd,6543,9.52,81.69,8.79
S02000371   Marchmont West,5930,8.35,84.06,7.59
S02000372   Carrick Knowe,2859,20.36,62.61,17.03
S02000373   Gorgie West,4908,8.56,82.31,9.13
S02000374   Marchmont East and Sciennes,6089,8.33,82.25,9.43
S02000375   Polwarth,5259,7.66,84.46,7.87
S02000376   Bruntsfield,6439,9.18,81.86,8.96
S02000377   Gorgie East,4097,8.03,86.62,5.35
"S02000378   Bingham, Magdalene and the Christians",3735,17.4,58.53,24.07
S02000379   Meadows,6674,7.12,86.69,6.19
S02000380   Balgreen and Roseburn,4419,13.56,63.86,22.58
S02000381   Dalry and Fountainbridge,7709,6.08,86.98,6.94
S02000382   Willowbrae and Duddingston Village,5368,15.69,63.88,20.44
S02000383   Corstorphine,5082,16.21,57.24,26.54
S02000384   Duddingston,3736,18.25,55.25,26.5
S02000385   Tollcross,7509,4.91,89.2,5.89
S02000386   Joppa,5215,16.86,59.41,23.74
S02000387   Southside and Canongate,6157,8.19,81.96,9.86
S02000388   East Craigs,4940,17.57,60.28,22.15
"S02000389   Dean, West End and West Coates",7200,9.63,76.47,13.9
S02000390   Murrayfield and Ravelston,4336,18.38,53.64,27.98
S02000391   Kirkliston,4301,21.16,59.54,19.3
S02000392   Northfield,3672,16.72,64.87,18.41
S02000393   Old Town and Leith Street,6273,3.94,89.02,7.05
S02000394   Clerwood and Corstorphine (Hillview),3331,16.78,59.2,24.02
S02000395   Mountcastle,2481,14.83,57.72,27.45
S02000396   Portobello,4077,18.84,65.86,15.31
S02000397   Blackhall,5396,20.63,55.97,23.41
S02000398   New Town West,5870,8.96,75.91,15.13
S02000399   Bughtlin and Parkgrove,5098,16.63,64.85,18.52
S02000400   Clermiston,5105,16.57,60.33,23.1
"S02000401   Abbeyhill, Meadowbank and Marionville",6875,7.99,79.78,12.23
S02000402   Hillside and Calton Hill,5720,9.9,80.8,9.3
S02000403   Restalrig (Loganlea),3481,14.05,66.39,19.56
S02000404   Stockbridge,6172,10.56,74.56,14.87
S02000405   New Town East,4725,9.42,81.21,9.38
S02000406   Craigentinny,2874,14.61,55.88,29.51
S02000407   Craigleith,4297,15.27,63.16,21.57
S02000408   Comely Bank,4276,15.39,71.63,12.98
S02000409   Lorne,7259,8.47,81.42,10.11
S02000410   Restalrig and Lochend,3638,15.7,64.38,19.93
S02000411   Drylaw,4608,17.84,61.83,20.33
S02000412   Broughton,8545,10.43,80.66,8.92
S02000413   Barnton and Cammo,3131,17.31,51.8,30.88
S02000414   Hermitage Park and Prospect Bank,5533,17.17,66.67,16.16
S02000415   Inverleith,3558,13.46,61.02,25.52
S02000416   South Leith,5590,10.82,75.44,13.74
S02000417   Silverknowes and Davidson`s Mains,4311,20.27,53.68,26.05
S02000418   Bonnington and Pilrig,5437,12.54,77.75,9.71
S02000419   Muirhouse,5096,21.23,66.74,12.03
S02000420   Great Junction Street,4945,11.87,76.56,11.57
S02000421   Cramond,3570,20.06,56.67,23.28
S02000422   West Pilton,7262,21.91,68.49,9.6
S02000423   Boswall and Pilton,5021,19.2,65.68,15.12
S02000424   East Trinity and Bonnyhaugh,5173,17.07,65.05,17.88
S02000425   Trinity,4620,17.25,60.39,22.36
S02000426   Leith Docks,7510,12.21,81.78,6.01
S02000427   North Leith and Newhaven,5019,13.17,71.85,14.98
S02000428   Waterfront and Granton,6610,17.87,65.16,16.97
S02000429   South Queensferry (East) and Dalmeny,5574,19.63,61.05,19.32
S02000430   South Queensferry West,4060,18.37,68.13,13.5
